seqnames	start	end	cnv	n_cells
chr1	120700001	120800000	amp	172
chr1	120800001	120900000	amp	173
chr1	120900001	121000000	amp	174
chr1	121000001	121100000	amp	174
chr1	121100001	121200000	amp	177
chr1	121400001	121500000	amp	179
chr1	121500001	121600000	amp	179
chr1	143700001	143800000	amp	189
chr1	144400001	144500000	amp	210
chr1	144500001	144600000	amp	218
chr1	145200001	145300000	amp	220
chr1	145400001	145500000	amp	221
chr1	145500001	145600000	amp	223
chr1	145600001	145700000	amp	231
chr1	145700001	145800000	amp	265
chr1	145800001	145900000	amp	277
chr1	145900001	146000000	amp	277
chr1	146000001	146100000	amp	277
chr1	146300001	146400000	amp	277
chr1	146400001	146500000	amp	277
chr1	146900001	147000000	amp	277
chr1	147000001	147100000	amp	277
chr1	147100001	147200000	amp	277
chr1	147200001	147300000	amp	277
chr1	147300001	147400000	amp	277
chr1	147400001	147500000	amp	277
chr1	147500001	147600000	amp	277
chr1	147600001	147700000	amp	277
chr1	147700001	147800000	amp	277
chr1	147800001	147900000	amp	277
chr1	147900001	148000000	amp	277
chr1	148000001	148100000	amp	278
chr1	148100001	148200000	amp	280
chr1	148200001	148300000	amp	280
chr1	148300001	148400000	amp	280
chr1	148400001	148500000	amp	281
chr1	148500001	148600000	amp	282
chr1	148900001	149000000	amp	282
chr1	149100001	149200000	amp	282
chr1	149200001	149300000	amp	284
chr1	149600001	149700000	amp	287
chr1	149700001	149800000	amp	300
chr1	149800001	149900000	amp	308
chr1	149900001	150000000	amp	311
chr1	150000001	150100000	amp	313
chr1	150100001	150200000	amp	318
chr1	150200001	150300000	amp	318
chr1	150300001	150400000	amp	319
chr1	150400001	150500000	amp	318
chr1	150500001	150600000	amp	319
chr1	150600001	150700000	amp	319
chr1	150700001	150800000	amp	319
chr1	150800001	150900000	amp	320
chr1	150900001	151000000	amp	320
chr1	151000001	151100000	amp	320
chr1	151100001	151200000	amp	320
chr1	151200001	151300000	amp	320
chr1	151300001	151400000	amp	320
chr1	151400001	151500000	amp	320
chr1	151500001	151600000	amp	320
chr1	151600001	151700000	amp	320
chr1	151700001	151800000	amp	320
chr1	151800001	151900000	amp	320
chr1	151900001	152000000	amp	320
chr1	152000001	152100000	amp	320
chr1	152100001	152200000	amp	320
chr1	152200001	152300000	amp	320
chr1	152300001	152400000	amp	320
chr1	152400001	152500000	amp	321
chr1	152500001	152600000	amp	321
chr1	152600001	152700000	amp	321
chr1	152700001	152800000	amp	321
chr1	152800001	152900000	amp	321
chr1	152900001	153000000	amp	321
chr1	153000001	153100000	amp	321
chr1	153100001	153200000	amp	321
chr1	153200001	153300000	amp	321
chr1	153300001	153400000	amp	322
chr1	153400001	153500000	amp	322
chr1	153500001	153600000	amp	326
chr1	153600001	153700000	amp	330
chr1	153700001	153800000	amp	331
chr1	153800001	153900000	amp	331
chr1	153900001	154000000	amp	331
chr1	154000001	154100000	amp	331
chr1	154100001	154200000	amp	331
chr1	154200001	154300000	amp	331
chr1	154300001	154400000	amp	331
chr1	154400001	154500000	amp	331
chr1	154500001	154600000	amp	331
chr1	154600001	154700000	amp	331
chr1	154700001	154800000	amp	331
chr1	154800001	154900000	amp	331
chr1	154900001	155000000	amp	331
chr1	155000001	155100000	amp	331
chr1	155100001	155200000	amp	331
chr1	155200001	155300000	amp	331
chr1	155300001	155400000	amp	331
chr1	155400001	155500000	amp	331
chr1	155500001	155600000	amp	331
chr1	155600001	155700000	amp	331
chr1	155700001	155800000	amp	331
chr1	155800001	155900000	amp	331
chr1	155900001	156000000	amp	332
chr1	156000001	156100000	amp	332
chr1	156100001	156200000	amp	332
chr1	156200001	156300000	amp	332
chr1	156300001	156400000	amp	332
chr1	156400001	156500000	amp	333
chr1	156500001	156600000	amp	333
chr1	156600001	156700000	amp	332
chr1	156700001	156800000	amp	328
chr1	156800001	156900000	amp	324
chr1	156900001	157000000	amp	323
chr1	157000001	157100000	amp	323
chr1	157100001	157200000	amp	320
chr1	157200001	157300000	amp	318
chr1	157300001	157400000	amp	318
chr1	157400001	157500000	amp	318
chr1	157500001	157600000	amp	318
chr1	157600001	157700000	amp	317
chr1	157700001	157800000	amp	316
chr1	157800001	157900000	amp	315
chr1	157900001	158000000	amp	311
chr1	158000001	158100000	amp	312
chr1	158100001	158200000	amp	309
chr1	158200001	158300000	amp	309
chr1	158300001	158400000	amp	308
chr1	158400001	158500000	amp	308
chr1	158500001	158600000	amp	308
chr1	158600001	158700000	amp	307
chr1	158700001	158800000	amp	308
chr1	158800001	158900000	amp	308
chr1	158900001	159000000	amp	308
chr1	159000001	159100000	amp	308
chr1	159100001	159200000	amp	308
chr1	159200001	159300000	amp	308
chr1	159300001	159400000	amp	308
chr1	159400001	159500000	amp	308
chr1	159500001	159600000	amp	308
chr1	159600001	159700000	amp	308
chr1	159700001	159800000	amp	308
chr1	159800001	159900000	amp	308
chr1	159900001	160000000	amp	308
chr1	160000001	160100000	amp	309
chr1	160100001	160200000	amp	310
chr1	160200001	160300000	amp	310
chr1	160300001	160400000	amp	309
chr1	160400001	160500000	amp	309
chr1	160500001	160600000	amp	309
chr1	160600001	160700000	amp	309
chr1	160700001	160800000	amp	309
chr1	160800001	160900000	amp	309
chr1	160900001	161000000	amp	309
chr1	161000001	161100000	amp	309
chr1	161100001	161200000	amp	309
chr1	161200001	161300000	amp	309
chr1	161300001	161400000	amp	308
chr1	161500001	161600000	amp	306
chr1	161600001	161700000	amp	306
chr1	161700001	161800000	amp	268
chr1	161800001	161900000	amp	255
chr1	161900001	162000000	amp	250
chr1	162000001	162100000	amp	236
chr1	162100001	162200000	amp	232
chr1	162200001	162300000	amp	230
chr1	162300001	162400000	amp	227
chr1	162400001	162500000	amp	227
chr1	162500001	162600000	amp	218
chr1	162600001	162700000	amp	197
chr1	162700001	162800000	amp	167
chr1	162800001	162900000	amp	148
chr1	162900001	163000000	amp	139
chr1	163000001	163100000	amp	136
chr1	163100001	163200000	amp	134
chr1	163200001	163300000	amp	134
chr1	163300001	163400000	amp	133
chr1	163400001	163500000	amp	131
chr1	163500001	163600000	amp	131
chr1	163600001	163700000	amp	131
chr1	163700001	163800000	amp	131
chr1	163800001	163900000	amp	130
chr1	163900001	164000000	amp	130
chr1	164000001	164100000	amp	130
chr1	164100001	164200000	amp	130
chr1	164200001	164300000	amp	130
chr1	164300001	164400000	amp	130
chr1	164400001	164500000	amp	130
chr1	164500001	164600000	amp	130
chr1	164600001	164700000	amp	130
chr1	164700001	164800000	amp	130
chr1	164800001	164900000	amp	130
chr1	164900001	165000000	amp	130
chr1	165000001	165100000	amp	130
chr1	165100001	165200000	amp	130
chr1	165200001	165300000	amp	130
chr1	165300001	165400000	amp	130
chr1	165400001	165500000	amp	130
chr1	165500001	165600000	amp	130
chr1	165600001	165700000	amp	130
chr1	165700001	165800000	amp	130
chr1	165800001	165900000	amp	130
chr1	165900001	166000000	amp	130
chr1	166000001	166100000	amp	130
chr1	166100001	166200000	amp	130
chr1	166200001	166300000	amp	130
chr1	166300001	166400000	amp	130
chr1	166400001	166500000	amp	130
chr1	166500001	166600000	amp	130
chr1	166600001	166700000	amp	130
chr1	166700001	166800000	amp	130
chr1	166800001	166900000	amp	129
chr1	166900001	167000000	amp	129
chr1	167000001	167100000	amp	129
chr1	167100001	167200000	amp	129
chr1	167200001	167300000	amp	129
chr1	167300001	167400000	amp	129
chr1	167400001	167500000	amp	129
chr1	167500001	167600000	amp	129
chr1	167600001	167700000	amp	129
chr1	167700001	167800000	amp	129
chr1	167800001	167900000	amp	128
chr1	167900001	168000000	amp	127
chr1	168000001	168100000	amp	127
chr1	168100001	168200000	amp	125
chr1	168200001	168300000	amp	126
chr1	168400001	168500000	amp	126
chr1	168500001	168600000	amp	126
chr1	168600001	168700000	amp	126
chr1	168700001	168800000	amp	126
chr1	168800001	168900000	amp	126
chr1	168900001	169000000	amp	126
chr1	169000001	169100000	amp	126
chr1	169100001	169200000	amp	126
chr1	169200001	169300000	amp	127
chr1	169300001	169400000	amp	127
chr1	169400001	169500000	amp	128
chr1	169500001	169600000	amp	126
chr1	169600001	169700000	amp	126
chr1	169700001	169800000	amp	126
chr1	169800001	169900000	amp	126
chr1	169900001	170000000	amp	126
chr1	170000001	170100000	amp	125
chr1	170100001	170200000	amp	125
chr1	170200001	170300000	amp	125
chr1	170300001	170400000	amp	125
chr1	170400001	170500000	amp	125
chr1	170500001	170600000	amp	125
chr1	170600001	170700000	amp	125
chr1	170700001	170800000	amp	125
chr1	170800001	170900000	amp	125
chr1	170900001	171000000	amp	125
chr1	171000001	171100000	amp	125
chr1	171100001	171200000	amp	125
chr1	171200001	171300000	amp	125
chr1	171300001	171400000	amp	125
chr1	171400001	171500000	amp	124
chr1	171500001	171600000	amp	124
chr1	171600001	171700000	amp	124
chr1	171700001	171800000	amp	124
chr1	171800001	171900000	amp	124
chr1	171900001	172000000	amp	124
chr1	172000001	172100000	amp	123
chr1	172100001	172200000	amp	123
chr1	172200001	172300000	amp	123
chr1	172300001	172400000	amp	123
chr1	172400001	172500000	amp	122
chr1	172500001	172600000	amp	122
chr1	172600001	172700000	amp	122
chr1	172700001	172800000	amp	122
chr1	172800001	172900000	amp	122
chr1	172900001	173000000	amp	121
chr1	173000001	173100000	amp	121
chr1	173100001	173200000	amp	121
chr1	173200001	173300000	amp	121
chr1	173300001	173400000	amp	121
chr1	173400001	173500000	amp	122
chr1	173500001	173600000	amp	122
chr1	173600001	173700000	amp	122
chr1	173700001	173800000	amp	122
chr1	173800001	173900000	amp	123
chr1	173900001	174000000	amp	123
chr1	174000001	174100000	amp	123
chr1	174100001	174200000	amp	122
chr1	174200001	174300000	amp	121
chr1	174300001	174400000	amp	121
chr1	174400001	174500000	amp	121
chr1	174500001	174600000	amp	122
chr1	174600001	174700000	amp	122
chr1	174700001	174800000	amp	122
chr1	174800001	174900000	amp	121
chr1	174900001	175000000	amp	122
chr1	175000001	175100000	amp	122
chr1	175100001	175200000	amp	122
chr1	175200001	175300000	amp	118
chr1	175300001	175400000	amp	113
chr1	175400001	175500000	amp	111
chr1	175500001	175600000	amp	111
chr1	175600001	175700000	amp	111
chr1	175700001	175800000	amp	110
chr1	175800001	175900000	amp	110
chr1	175900001	176000000	amp	110
chr1	176000001	176100000	amp	110
chr1	176100001	176200000	amp	110
chr1	176200001	176300000	amp	110
chr1	176300001	176400000	amp	111
chr1	176400001	176500000	amp	112
chr1	176500001	176600000	amp	112
chr1	176600001	176700000	amp	114
chr1	176700001	176800000	amp	113
chr1	176800001	176900000	amp	113
chr1	176900001	177000000	amp	113
chr1	177000001	177100000	amp	113
chr1	177100001	177200000	amp	113
chr1	177200001	177300000	amp	113
chr1	177300001	177400000	amp	113
chr1	177400001	177500000	amp	113
chr1	177500001	177600000	amp	113
chr1	177600001	177700000	amp	113
chr1	177700001	177800000	amp	113
chr1	177800001	177900000	amp	113
chr1	177900001	178000000	amp	114
chr1	178000001	178100000	amp	114
chr1	178100001	178200000	amp	113
chr1	178200001	178300000	amp	113
chr1	178300001	178400000	amp	113
chr1	178400001	178500000	amp	113
chr1	178500001	178600000	amp	113
chr1	178600001	178700000	amp	114
chr1	178700001	178800000	amp	114
chr1	178800001	178900000	amp	114
chr1	178900001	179000000	amp	114
chr1	179000001	179100000	amp	113
chr1	179100001	179200000	amp	112
chr1	179200001	179300000	amp	112
chr1	179300001	179400000	amp	111
chr1	179400001	179500000	amp	111
chr1	179500001	179600000	amp	111
chr1	179600001	179700000	amp	111
chr1	179700001	179800000	amp	112
chr1	179800001	179900000	amp	112
chr1	179900001	180000000	amp	112
chr1	180000001	180100000	amp	112
chr1	180100001	180200000	amp	112
chr1	180200001	180300000	amp	112
chr1	180300001	180400000	amp	112
chr1	180400001	180500000	amp	112
chr1	180500001	180600000	amp	112
chr1	180600001	180700000	amp	112
chr1	180700001	180800000	amp	113
chr1	180800001	180900000	amp	114
chr1	180900001	181000000	amp	114
chr1	181000001	181100000	amp	114
chr1	181100001	181200000	amp	114
chr1	181200001	181300000	amp	113
chr1	181300001	181400000	amp	113
chr1	181400001	181500000	amp	113
chr1	181500001	181600000	amp	113
chr1	181600001	181700000	amp	113
chr1	181700001	181800000	amp	113
chr1	181800001	181900000	amp	113
chr1	181900001	182000000	amp	113
chr1	182000001	182100000	amp	115
chr1	182100001	182200000	amp	115
chr1	182200001	182300000	amp	115
chr1	182300001	182400000	amp	115
chr1	182400001	182500000	amp	115
chr1	182500001	182600000	amp	115
chr1	182600001	182700000	amp	115
chr1	182700001	182800000	amp	115
chr1	182800001	182900000	amp	115
chr1	182900001	183000000	amp	115
chr1	183000001	183100000	amp	115
chr1	183100001	183200000	amp	114
chr1	183200001	183300000	amp	114
chr1	183300001	183400000	amp	114
chr1	183400001	183500000	amp	115
chr1	183500001	183600000	amp	115
chr1	183600001	183700000	amp	114
chr1	183700001	183800000	amp	114
chr1	183800001	183900000	amp	114
chr1	183900001	184000000	amp	114
chr1	184000001	184100000	amp	114
chr1	184100001	184200000	amp	114
chr1	184200001	184300000	amp	114
chr1	184300001	184400000	amp	113
chr1	184400001	184500000	amp	113
chr1	184500001	184600000	amp	113
chr1	184600001	184700000	amp	113
chr1	184700001	184800000	amp	113
chr1	184800001	184900000	amp	113
chr1	184900001	185000000	amp	112
chr1	185000001	185100000	amp	112
chr1	185100001	185200000	amp	111
chr1	185200001	185300000	amp	110
chr1	185300001	185400000	amp	110
chr1	185400001	185500000	amp	103
chr1	185500001	185600000	amp	102
chr1	185600001	185700000	amp	101
chr1	185700001	185800000	amp	101
chr1	185800001	185900000	amp	101
chr1	185900001	186000000	amp	101
chr1	186000001	186100000	amp	101
chr1	186100001	186200000	amp	101
chr1	186200001	186300000	amp	101
chr1	186300001	186400000	amp	102
chr1	186400001	186500000	amp	102
chr1	186500001	186600000	amp	102
chr1	186600001	186700000	amp	102
chr1	186700001	186800000	amp	102
chr1	186800001	186900000	amp	102
chr1	186900001	187000000	amp	98
chr1	187000001	187100000	amp	98
chr1	187100001	187200000	amp	93
chr1	187200001	187300000	amp	91
chr1	187300001	187400000	amp	91
chr1	187400001	187500000	amp	90
chr1	187500001	187600000	amp	90
chr1	187600001	187700000	amp	90
chr1	187700001	187800000	amp	90
chr1	187800001	187900000	amp	90
chr1	187900001	188000000	amp	90
chr1	188000001	188100000	amp	90
chr1	188100001	188200000	amp	89
chr1	188200001	188300000	amp	89
chr1	188300001	188400000	amp	89
chr1	188400001	188500000	amp	90
chr1	188500001	188600000	amp	90
chr1	188600001	188700000	amp	90
chr1	188700001	188800000	amp	90
chr1	188800001	188900000	amp	90
chr1	188900001	189000000	amp	92
chr1	189000001	189100000	amp	92
chr1	189100001	189200000	amp	92
chr1	189200001	189300000	amp	92
chr1	189300001	189400000	amp	92
chr1	189400001	189500000	amp	92
chr1	189500001	189600000	amp	90
chr1	189600001	189700000	amp	90
chr1	189700001	189800000	amp	90
chr1	189800001	189900000	amp	89
chr1	189900001	190000000	amp	89
chr1	190000001	190100000	amp	89
chr1	190100001	190200000	amp	89
chr1	190200001	190300000	amp	89
chr1	190300001	190400000	amp	89
chr1	190400001	190500000	amp	89
chr1	190500001	190600000	amp	89
chr1	190600001	190700000	amp	89
chr1	190700001	190800000	amp	89
chr1	190800001	190900000	amp	89
chr1	190900001	191000000	amp	89
chr1	191000001	191100000	amp	89
