"gene_name","bingrp"
"SEC61G","chr7:54720001-54800000"
"LOC100996654","chr7:54720001-54800000"
"EGFR-AS1","chr7:55120001-55200000"
"ELDR","chr7:55200001-55280000"
"LANCL2","chr7:55360001-55440000"
"VOPP1","chr7:55520001-55600000"
"FKBP9P1","chr7:55680001-55760000"
"SEPTIN14","chr7:55760001-55840000"
"ZNF713","chr7:55840001-55920000"
"MRPS17","chr7:55920001-56000000"
"NIPSNAP2","chr7:55920001-56000000"
"PSPH","chr7:56000001-56080000"
"CCT6A","chr7:56000001-56080000"
"SNORA22B","chr7:56000001-56080000"
"SNORA15","chr7:56000001-56080000"
"SUMF2","chr7:56000001-56080000"
"PHKG1","chr7:56080001-56160000"
"CHCHD2","chr7:56080001-56160000"
"NUPR2","chr7:56080001-56160000"
"LOC650226","chr7:56400001-56480000"
"LOC100240728","chr7:56480001-56560000"
"DKFZp434L192","chr7:56480001-56560000"
"LOC101928401","chr7:56480001-56560000"
"LOC401357","chr7:56800001-56880000"
"LOC100130849","chr7:56800001-56880000"
"MIR4283-1","chr7:56880001-56960000"
"ZNF479","chr7:57120001-57200000"
"GUSBP10","chr7:57120001-57200000"
"LOC105375297","chr7:57200001-57280000"
"LOC100653233","chr7:57360001-57440000"
"MIR3147","chr7:57360001-57440000"
"ZNF716","chr7:57440001-57520000"
"ZNF733P","chr7:63280001-63360000"
"LOC102724738","chr7:63280001-63360000"
"LOC100287704","chr7:63280001-63360000"
"LOC100287834","chr7:63360001-63440000"
"ZNF722P","chr7:64000001-64080000"
"LINC01005","chr7:64000001-64080000"
"ZNF727","chr7:64000001-64080000"
"ZNF735","chr7:64160001-64240000"
"ZNF679","chr7:64240001-64320000"
"ZNF736","chr7:64320001-64400000"
"YWHAEP1","chr7:64400001-64480000"
"ZNF680","chr7:64480001-64560000"
"LOC100128885","chr7:64560001-64640000"
"LOC641746","chr7:64560001-64640000"
"ZNF107","chr7:64640001-64720000"
"MIR6839","chr7:64640001-64720000"
"ZNF138","chr7:64800001-64880000"
"ZNF273","chr7:64880001-64960000"
"ERV3-1-ZNF117","chr7:64960001-65040000"
"ZNF117","chr7:64960001-65040000"
"ERV3-1","chr7:64960001-65040000"
"CCT6P3","chr7:65040001-65120000"
"SNORA22C","chr7:65040001-65120000"
"SNORA15B-2","chr7:65040001-65120000"
"INTS4P1","chr7:65120001-65200000"
"ZNF92","chr7:65360001-65440000"
"LOC101929322","chr7:65520001-65600000"
"LOC441242","chr7:65680001-65760000"
"INTS4P2","chr7:65680001-65760000"
"CCT6P1","chr7:65680001-65760000"
"SNORA22","chr7:65680001-65760000"
"VKORC1L1","chr7:65840001-65920000"
"GUSB","chr7:65920001-66000000"
"ASL","chr7:66080001-66160000"
"CRCP","chr7:66080001-66160000"
"TPST1","chr7:66240001-66320000"
"LINC00174","chr7:66320001-66400000"
"GS1-124K5.4","chr7:66480001-66560000"
"GS1-124K5.11","chr7:66560001-66640000"
"KCTD7","chr7:66560001-66640000"
"LOC100996437","chr7:66640001-66720000"
"RABGEF1","chr7:66720001-66800000"
"GTF2IRD1P1","chr7:66800001-66880000"
"GTF2IP23","chr7:66800001-66880000"
"LINC02604","chr7:66880001-66960000"
"TMEM248","chr7:66880001-66960000"
"SBDS","chr7:66960001-67040000"
"MIR4650-1","chr7:67040001-67120000"
"PMS2P4","chr7:67280001-67360000"
"STAG3L4","chr7:67280001-67360000"
"LINC01372","chr7:67280001-67360000"
"LOC102723427","chr7:68000001-68080000"
"CT66","chr7:69520001-69600000"
"MIR3914-1","chr7:71280001-71360000"
"MIR3914-2","chr7:71280001-71360000"
"SBDSP1","chr7:72800001-72880000"
"SPDYE7P","chr7:72800001-72880000"
"POM121","chr7:72880001-72960000"
"NSUN5P2","chr7:72880001-72960000"
"TRIM73","chr7:72960001-73040000"
"TRIM74","chr7:72960001-73040000"
"STAG3L3","chr7:72960001-73040000"
"SPDYE8","chr7:73040001-73120000"
"SPDYE13","chr7:73040001-73120000"
"SPDYE11","chr7:73040001-73120000"
"SPDYE17","chr7:73040001-73120000"
"GTF2IP4","chr7:73120001-73200000"
"GTF2IP1","chr7:73120001-73200000"
"NCF1B","chr7:73200001-73280000"
"NSUN5","chr7:73280001-73360000"
"TRIM50","chr7:73280001-73360000"
"FKBP6","chr7:73280001-73360000"
"FZD9","chr7:73360001-73440000"
"BAZ1B","chr7:73440001-73520000"
"BCL7B","chr7:73520001-73600000"
"TBL2","chr7:73520001-73600000"
"MLXIPL","chr7:73600001-73680000"
"VPS37D","chr7:73600001-73680000"
"DNAJC30","chr7:73680001-73760000"
"BUD23","chr7:73680001-73760000"
"STX1A","chr7:73680001-73760000"
"MIR4284","chr7:73680001-73760000"
"ABHD11-AS1","chr7:73680001-73760000"
"ABHD11","chr7:73680001-73760000"
"CLDN3","chr7:73760001-73840000"
"CLDN4","chr7:73760001-73840000"
"METTL27","chr7:73760001-73840000"
"TMEM270","chr7:73840001-73920000"
"ELN","chr7:74000001-74080000"
"LIMK1","chr7:74080001-74160000"
"EIF4H","chr7:74160001-74240000"
"MIR590","chr7:74160001-74240000"
"LAT2","chr7:74160001-74240000"
"RFC2","chr7:74240001-74320000"
"CLIP2","chr7:74320001-74400000"
"GTF2IRD1","chr7:74480001-74560000"
"MIR10525","chr7:74560001-74640000"
"GTF2I","chr7:74640001-74720000"
"LOC101926943","chr7:74640001-74720000"
"NCF1","chr7:74720001-74800000"
"GTF2IRD2","chr7:74800001-74880000"
"STAG3L2","chr7:74880001-74960000"
"PMS2P5","chr7:74880001-74960000"
"CASTOR2","chr7:74960001-75040000"
"RCC1L","chr7:75040001-75120000"
"GTF2IRD2B","chr7:75120001-75200000"
"NCF1C","chr7:75120001-75200000"
"SPDYE10P","chr7:75200001-75280000"
"PMS2P7","chr7:75280001-75360000"
"SPDYE15","chr7:75280001-75360000"
"PMS2P2","chr7:75280001-75360000"
"STAG3L1","chr7:75360001-75440000"
"LOC100101148","chr7:75360001-75440000"
"LOC541473","chr7:75360001-75440000"
"NSUN5P1","chr7:75360001-75440000"
"POM121C","chr7:75440001-75520000"
"SPDYE5","chr7:75440001-75520000"
"PMS2P3","chr7:75440001-75520000"
"CCL26","chr7:75760001-75840000"
"CCL24","chr7:75760001-75840000"
"RHBDD2","chr7:75840001-75920000"
"POR","chr7:75920001-76000000"
"MIR4651","chr7:75840001-75920000"
"SNORA14A","chr7:75920001-76000000"
"TMEM120A","chr7:75920001-76000000"
"STYXL1","chr7:76000001-76080000"
"MDH2","chr7:76000001-76080000"
"GTF2IP7","chr7:76080001-76160000"
"SRRM3","chr7:76240001-76320000"
"HSPB1","chr7:76240001-76320000"
"YWHAG","chr7:76320001-76400000"
"SSC4D","chr7:76320001-76400000"
"ZP3","chr7:76400001-76480000"
"DTX2","chr7:76480001-76560000"
"FDPSP2","chr7:76400001-76480000"
"UPK3B","chr7:76480001-76560000"
"SPDYE16","chr7:76480001-76560000"
"LOC100133091","chr7:76560001-76640000"
"POMZP3","chr7:76560001-76640000"
"DTX2P1-UPK3BP1-PMS2P11","chr7:76960001-77040000"
"PMS2P9","chr7:77040001-77120000"
"SPDYE18","chr7:77040001-77120000"
"FAM185BP","chr7:77040001-77120000"
"FGL2","chr7:77120001-77200000"
"GSAP","chr7:77360001-77440000"
"LOC101927243","chr7:77360001-77440000"
"PTPN12","chr7:77520001-77600000"
"APTR","chr7:77600001-77680000"
"RSBN1L","chr7:77680001-77760000"
"TMEM60","chr7:77760001-77840000"
"PHTF2","chr7:77840001-77920000"
"RPL13AP17","chr7:78320001-78400000"
"MAGI2-AS2","chr7:78960001-79040000"
"MAGI2-AS3","chr7:79440001-79520000"
"GNAI1","chr7:80160001-80240000"
"LOC101927269","chr7:80320001-80400000"
"GNAT3","chr7:80480001-80560000"
"CD36","chr7:80640001-80720000"
"LOC105369146","chr7:81520001-81600000"
"LOC100128317","chr7:81600001-81680000"
"HGF","chr7:81680001-81760000"
"CACNA2D1-AS1","chr7:82000001-82080000"
"LOC101927378","chr7:84480001-84560000"
"SEMA3D","chr7:85040001-85120000"
"LINC00972","chr7:85440001-85520000"
"LOC101927420","chr7:87120001-87200000"
"DMTF1","chr7:87120001-87200000"
"TMEM243","chr7:87200001-87280000"
"TP53TG1","chr7:87280001-87360000"
"CROT","chr7:87360001-87440000"
"ABCB4","chr7:87360001-87440000"
"SLC25A40","chr7:87840001-87920000"
"DBF4","chr7:87840001-87920000"
"SRI","chr7:88160001-88240000"
"LOC102723885","chr7:88160001-88240000"
"STEAP4","chr7:88240001-88320000"
"TEX47","chr7:88720001-88800000"
"DPY19L2P4","chr7:90080001-90160000"
"STEAP1","chr7:90080001-90160000"
"STEAP2","chr7:90160001-90240000"
"CFAP69","chr7:90240001-90320000"
"LOC101927446","chr7:90320001-90400000"
"GTPBP10","chr7:90320001-90400000"
"LOC101409256","chr7:90320001-90400000"
"CLDN12","chr7:90400001-90480000"
"LOC102723899","chr7:90480001-90560000"
"FZD1","chr7:91200001-91280000"
"MTERF1","chr7:91840001-91920000"
"CYP51A1","chr7:92080001-92160000"
"CYP51A1-AS1","chr7:92080001-92160000"
"LRRD1","chr7:92080001-92160000"
"KRIT1","chr7:92160001-92240000"
"MIR1285-1","chr7:92160001-92240000"
"ANKIB1","chr7:92320001-92400000"
"TMBIM7P","chr7:92400001-92480000"
"GATAD1","chr7:92400001-92480000"
"ERVW-1","chr7:92400001-92480000"
"PEX1","chr7:92480001-92560000"
"RBM48","chr7:92480001-92560000"
"FAM133B","chr7:92560001-92640000"
"CDK6-AS1","chr7:92800001-92880000"
"SAMD9","chr7:93040001-93120000"
"SAMD9L","chr7:93120001-93200000"
"HEPACAM2","chr7:93200001-93280000"
"VPS50","chr7:93280001-93360000"
"CALCR","chr7:93440001-93520000"
"MIR653","chr7:93440001-93520000"
"MIR489","chr7:93440001-93520000"
"MIR4652","chr7:93680001-93760000"
"TFPI2","chr7:93840001-93920000"
"LOC105375401","chr7:93840001-93920000"
"GNGT1","chr7:93840001-93920000"
"GNG11","chr7:93920001-94000000"
"BET1","chr7:93920001-94000000"
"COL1A2-AS1","chr7:94320001-94400000"
"COL1A2","chr7:94400001-94480000"
"CASD1","chr7:94480001-94560000"
"SGCE","chr7:94560001-94640000"
"PEG10","chr7:94640001-94720000"
"PON1","chr7:95280001-95360000"
"PON3","chr7:95360001-95440000"
"PON2","chr7:95360001-95440000"
"ASB4","chr7:95440001-95520000"
"PDK4","chr7:95520001-95600000"
"MIR591","chr7:96160001-96240000"
"DLX6-AS1","chr7:96960001-97040000"
"DLX6","chr7:96960001-97040000"
"DLX5","chr7:96960001-97040000"
"SDHAF3","chr7:97120001-97200000"
"TAC1","chr7:97680001-97760000"
"ASNS","chr7:97840001-97920000"
"CZ1P-ASNS","chr7:97840001-97920000"
"MIR5692A1","chr7:97920001-98000000"
"MIR5692A2","chr7:97920001-98000000"
"MIR5692C2","chr7:97920001-98000000"
"CCZ1P-OR7E38P","chr7:97920001-98000000"
"OCM2","chr7:97920001-98000000"
"LMTK2","chr7:98080001-98160000"
"BHLHA15","chr7:98160001-98240000"
"TECPR1","chr7:98160001-98240000"
"BRI3","chr7:98240001-98320000"
"BAIAP2L1","chr7:98320001-98400000"
"NPTX2","chr7:98560001-98640000"
"TMEM130","chr7:98800001-98880000"
"TRRAP","chr7:98880001-98960000"
"MIR3609","chr7:98880001-98960000"
"SCARNA28","chr7:98880001-98960000"
"LOC101927550","chr7:98960001-99040000"
"SMURF1","chr7:99040001-99120000"
"KPNA7","chr7:99120001-99200000"
"MYH16","chr7:99280001-99360000"
"ARPC1A","chr7:99280001-99360000"
"ARPC1B","chr7:99360001-99440000"
"PDAP1","chr7:99360001-99440000"
"BUD31","chr7:99360001-99440000"
"MIR12119","chr7:99360001-99440000"
"ATP5MF-PTCD1","chr7:99440001-99520000"
"PTCD1","chr7:99360001-99440000"
"CPSF4","chr7:99440001-99520000"
"ATP5MF","chr7:99440001-99520000"
"ZNF789","chr7:99440001-99520000"
"ZNF394","chr7:99440001-99520000"
"ZKSCAN5","chr7:99440001-99520000"
"FAM200A","chr7:99520001-99600000"
"ZNF655","chr7:99520001-99600000"
"TMEM225B","chr7:99600001-99680000"
"ZSCAN25","chr7:99600001-99680000"
"CYP3A5","chr7:99600001-99680000"
"CYP3A7-CYP3A51P","chr7:99680001-99760000"
"CYP3A7","chr7:99680001-99760000"
"CYP3A4","chr7:99760001-99840000"
"CYP3A43","chr7:99840001-99920000"
"OR2AE1","chr7:99840001-99920000"
"TRIM4","chr7:99840001-99920000"
