"gene_name","bingrp"
"CCDC126","chr7:23500001-24000000"
"FAM221A","chr7:23500001-24000000"
"STK31","chr7:23500001-24000000"
"NPY","chr7:24000001-24500000"
"MPP6","chr7:24500001-25000000"
"GSDME","chr7:24500001-25000000"
"OSBPL3","chr7:24500001-25000000"
"CYCS","chr7:25000001-25500000"
"C7orf31","chr7:25000001-25500000"
"NPVF","chr7:25000001-25500000"
"LOC646588","chr7:25500001-26000000"
"MIR148A","chr7:25500001-26000000"
"NFE2L3","chr7:26000001-26500000"
"HNRNPA2B1","chr7:26000001-26500000"
"CBX3","chr7:26000001-26500000"
"SNX10","chr7:26000001-26500000"
"LOC105375304","chr7:26000001-26500000"
"LOC441204","chr7:26000001-26500000"
"KIAA0087","chr7:26500001-27000000"
"LINC02860","chr7:26500001-27000000"
"SKAP2","chr7:26500001-27000000"
"HOXA1","chr7:27000001-27500000"
"HOTAIRM1","chr7:27000001-27500000"
"HOXA2","chr7:27000001-27500000"
"HOXA3","chr7:27000001-27500000"
"HOXA-AS2","chr7:27000001-27500000"
"HOXA4","chr7:27000001-27500000"
"HOXA-AS3","chr7:27000001-27500000"
"HOXA5","chr7:27000001-27500000"
"HOXA6","chr7:27000001-27500000"
"HOXA7","chr7:27000001-27500000"
"HOXA10-HOXA9","chr7:27000001-27500000"
"HOXA9","chr7:27000001-27500000"
"HOXA10-AS","chr7:27000001-27500000"
"MIR196B","chr7:27000001-27500000"
"HOXA10","chr7:27000001-27500000"
"HOXA11","chr7:27000001-27500000"
"HOXA11-AS","chr7:27000001-27500000"
"HOXA13","chr7:27000001-27500000"
"HOTTIP","chr7:27000001-27500000"
"EVX1-AS","chr7:27000001-27500000"
"EVX1","chr7:27000001-27500000"
"HIBADH","chr7:27500001-28000000"
"TSL","chr7:27500001-28000000"
"TAX1BP1","chr7:27500001-28000000"
"JAZF1","chr7:28000001-28500000"
"JAZF1-AS1","chr7:28000001-28500000"
"CREB5","chr7:28500001-29000000"
"TRIL","chr7:28500001-29000000"
"LOC100506497","chr7:28500001-29000000"
"CPVL","chr7:29000001-29500000"
"LOC101928168","chr7:29000001-29500000"
"CHN2","chr7:29000001-29500000"
"CHN2-AS1","chr7:29000001-29500000"
"PRR15","chr7:29500001-30000000"
"LOC646762","chr7:29500001-30000000"
"MIR550A3","chr7:29500001-30000000"
"ZNRF2P2","chr7:29500001-30000000"
"DPY19L2P3","chr7:29500001-30000000"
"WIPF3","chr7:29500001-30000000"
"SCRN1","chr7:29500001-30000000"
"FKBP14","chr7:30000001-30500000"
"PLEKHA8","chr7:30000001-30500000"
"MTURN","chr7:30000001-30500000"
"LOC105375218","chr7:30000001-30500000"
"ZNRF2","chr7:30000001-30500000"
"MIR550A1","chr7:30000001-30500000"
"DKFZP586I1420","chr7:30000001-30500000"
"LINC01176","chr7:30000001-30500000"
"NOD1","chr7:30000001-30500000"
"GGCT","chr7:30500001-31000000"
"GARS-DT","chr7:30500001-31000000"
"GARS1","chr7:30500001-31000000"
"CRHR2","chr7:30500001-31000000"
"INMT","chr7:30500001-31000000"
"INMT-MINDY4","chr7:30500001-31000000"
"MINDY4","chr7:30500001-31000000"
"AQP1","chr7:30500001-31000000"
"GHRHR","chr7:30500001-31000000"
"ADCYAP1R1","chr7:31000001-31500000"
"NEUROD6","chr7:31000001-31500000"
"ITPRID1","chr7:31500001-32000000"
"PPP1R17","chr7:31500001-32000000"
"PDE1C","chr7:32000001-32500000"
"LOC100130673","chr7:32000001-32500000"
"LSM5","chr7:32000001-32500000"
"AVL9","chr7:32500001-33000000"
"DPY19L1P1","chr7:32500001-33000000"
"ZNRF2P1","chr7:32500001-33000000"
"MIR550A2","chr7:32500001-33000000"
"LINC00997","chr7:32500001-33000000"
"DPY19L1P2","chr7:32500001-33000000"
"KBTBD2","chr7:32500001-33000000"
"RP9P","chr7:32500001-33000000"
"FKBP9","chr7:32500001-33000000"
"NT5C3A","chr7:33000001-33500000"
"RP9","chr7:33000001-33500000"
"BBS9","chr7:33000001-33500000"
"BMPER","chr7:34000001-34500000"
"NPSR1-AS1","chr7:34500001-35000000"
"NPSR1","chr7:34500001-35000000"
"DPY19L1","chr7:34500001-35000000"
"DPY19L2P1","chr7:35000001-35500000"
"TBX20","chr7:35000001-35500000"
"LOC401324","chr7:35000001-35500000"
"HERPUD2","chr7:35500001-36000000"
"LOC101930085","chr7:35500001-36000000"
"LOC100506725","chr7:35500001-36000000"
"SEPTIN7-AS1","chr7:35500001-36000000"
"SEPTIN7","chr7:35500001-36000000"
"LOC101928618","chr7:36000001-36500000"
"EEPD1","chr7:36000001-36500000"
"KIAA0895","chr7:36000001-36500000"
"ANLN","chr7:36000001-36500000"
"AOAH","chr7:36500001-37000000"
"AOAH-IT1","chr7:36500001-37000000"
"ELMO1","chr7:37000001-37500000"
"MIR1200","chr7:36500001-37000000"
"ELMO1-AS1","chr7:37000001-37500000"
"GPR141","chr7:37500001-38000000"
"NME8","chr7:37500001-38000000"
"SFRP4","chr7:37500001-38000000"
"EPDR1","chr7:37500001-38000000"
"STARD3NL","chr7:38000001-38500000"
"TARP","chr7:38000001-38500000"
"TRG-AS1","chr7:38000001-38500000"
"AMPH","chr7:38500001-39000000"
"FAM183BP","chr7:38500001-39000000"
"VPS41","chr7:38500001-39000000"
"POU6F2","chr7:39000001-39500000"
"POU6F2-AS2","chr7:38500001-39000000"
"SNORA20B","chr7:39000001-39500000"
"POU6F2-AS1","chr7:39000001-39500000"
"YAE1","chr7:39500001-40000000"
"RALA","chr7:39500001-40000000"
"LINC00265","chr7:39500001-40000000"
"LOC112267983","chr7:39500001-40000000"
"CDK13","chr7:40000001-40500000"
"MPLKIP","chr7:40000001-40500000"
"SUGCT","chr7:40000001-40500000"
"LINC01450","chr7:40500001-41000000"
"LINC01449","chr7:41000001-41500000"
"INHBA","chr7:41500001-42000000"
"INHBA-AS1","chr7:41500001-42000000"
"GLI3","chr7:42000001-42500000"
"LINC01448","chr7:42500001-43000000"
"C7orf25","chr7:42500001-43000000"
"PSMA2","chr7:42500001-43000000"
"MRPL32","chr7:42500001-43000000"
"HECW1","chr7:43000001-43500000"
"HECW1-IT1","chr7:43000001-43500000"
"MIR3943","chr7:43000001-43500000"
"LUARIS","chr7:43500001-44000000"
"STK17A","chr7:43500001-44000000"
"COA1","chr7:43500001-44000000"
"BLVRA","chr7:43500001-44000000"
"MRPS24","chr7:43500001-44000000"
"URGCP-MRPS24","chr7:43500001-44000000"
"URGCP","chr7:43500001-44000000"
"UBE2D4","chr7:43500001-44000000"
"POLR2J4","chr7:43500001-44000000"
"SPDYE1","chr7:44000001-44500000"
"RASA4CP","chr7:44000001-44500000"
"LINC00957","chr7:44000001-44500000"
"DBNL","chr7:44000001-44500000"
"MIR6837","chr7:44000001-44500000"
"PGAM2","chr7:44000001-44500000"
"POLM","chr7:44000001-44500000"
"MIR6838","chr7:44000001-44500000"
"AEBP1","chr7:44000001-44500000"
"MIR4649","chr7:44000001-44500000"
"POLD2","chr7:44000001-44500000"
"MYL7","chr7:44000001-44500000"
"GCK","chr7:44000001-44500000"
"YKT6","chr7:44000001-44500000"
"CAMK2B","chr7:44000001-44500000"
"NUDCD3","chr7:44000001-44500000"
"NPC1L1","chr7:44500001-45000000"
"DDX56","chr7:44500001-45000000"
"TMED4","chr7:44500001-45000000"
"OGDH","chr7:44500001-45000000"
"ZMIZ2","chr7:44500001-45000000"
"PPIA","chr7:44500001-45000000"
"H2AZ2","chr7:44500001-45000000"
"PURB","chr7:44500001-45000000"
"MIR4657","chr7:44500001-45000000"
"MYO1G","chr7:44500001-45000000"
"SNHG15","chr7:44500001-45000000"
"SNORA9","chr7:44500001-45000000"
"CCM2","chr7:45000001-45500000"
"NACAD","chr7:45000001-45500000"
"TBRG4","chr7:45000001-45500000"
"SNORA5A","chr7:45000001-45500000"
"SNORA5C","chr7:45000001-45500000"
"SNORA5B","chr7:45000001-45500000"
"RAMP3","chr7:45000001-45500000"
"ADCY1","chr7:45500001-46000000"
"SEPTIN7P2","chr7:45500001-46000000"
"LOC730234","chr7:45500001-46000000"
"IGFBP1","chr7:45500001-46000000"
"IGFBP3","chr7:45500001-46000000"
"LOC730338","chr7:46500001-47000000"
"TNS3","chr7:47000001-47500000"
"SNORD151","chr7:47000001-47500000"
"LINC01447","chr7:47500001-48000000"
"C7orf65","chr7:47500001-48000000"
"LINC00525","chr7:47500001-48000000"
"PKD1L1","chr7:47500001-48000000"
"C7orf69","chr7:47500001-48000000"
"HUS1","chr7:47500001-48000000"
"SUN3","chr7:48000001-48500000"
"C7orf57","chr7:48000001-48500000"
"UPP1","chr7:48000001-48500000"
"ABCA13","chr7:48000001-48500000"
"CDC14C","chr7:48500001-49000000"
"VWC2","chr7:49500001-50000000"
"ZPBP","chr7:50000001-50500000"
"SPATA48","chr7:50000001-50500000"
"IKZF1","chr7:50000001-50500000"
"FIGNL1","chr7:50000001-50500000"
"DDC","chr7:50500001-51000000"
"DDC-AS1","chr7:50500001-51000000"
"GRB10","chr7:50500001-51000000"
"COBL","chr7:51000001-51500000"
"LOC107986794","chr7:51000001-51500000"
"POM121L12","chr7:53000001-53500000"
"LINC01446","chr7:53500001-54000000"
"LINC01445","chr7:54000001-54500000"
"VSTM2A","chr7:54500001-55000000"
"VSTM2A-OT1","chr7:54500001-55000000"
"SEC61G","chr7:54500001-55000000"
"LOC100996654","chr7:54500001-55000000"
"EGFR","chr7:55000001-55500000"
"EGFR-AS1","chr7:55000001-55500000"
"ELDR","chr7:55000001-55500000"
"LANCL2","chr7:55000001-55500000"
"VOPP1","chr7:55500001-56000000"
"FKBP9P1","chr7:55500001-56000000"
"SEPTIN14","chr7:55500001-56000000"
"ZNF713","chr7:55500001-56000000"
"MRPS17","chr7:55500001-56000000"
"NIPSNAP2","chr7:55500001-56000000"
"PSPH","chr7:56000001-56500000"
"CCT6A","chr7:56000001-56500000"
"SNORA22B","chr7:56000001-56500000"
"SNORA15","chr7:56000001-56500000"
"SUMF2","chr7:56000001-56500000"
"PHKG1","chr7:56000001-56500000"
"CHCHD2","chr7:56000001-56500000"
"NUPR2","chr7:56000001-56500000"
"LOC650226","chr7:56000001-56500000"
"LOC100240728","chr7:56000001-56500000"
"DKFZp434L192","chr7:56000001-56500000"
"LOC101928401","chr7:56500001-57000000"
"LOC401357","chr7:56500001-57000000"
"LOC100130849","chr7:56500001-57000000"
"MIR4283-1","chr7:56500001-57000000"
"ZNF479","chr7:57000001-57500000"
"GUSBP10","chr7:57000001-57500000"
"LOC105375297","chr7:57000001-57500000"
"LOC100653233","chr7:57000001-57500000"
"MIR3147","chr7:57000001-57500000"
"ZNF716","chr7:57000001-57500000"
"ZNF733P","chr7:63000001-63500000"
"LOC102724738","chr7:63000001-63500000"
"LOC100287704","chr7:63000001-63500000"
"LOC100287834","chr7:63000001-63500000"
"ZNF722P","chr7:64000001-64500000"
"LINC01005","chr7:64000001-64500000"
"ZNF727","chr7:64000001-64500000"
"ZNF735","chr7:64000001-64500000"
"ZNF679","chr7:64000001-64500000"
"ZNF736","chr7:64000001-64500000"
"YWHAEP1","chr7:64000001-64500000"
"ZNF680","chr7:64500001-65000000"
"LOC100128885","chr7:64500001-65000000"
"LOC641746","chr7:64500001-65000000"
"ZNF107","chr7:64500001-65000000"
"MIR6839","chr7:64500001-65000000"
"ZNF138","chr7:64500001-65000000"
"ZNF273","chr7:64500001-65000000"
"ERV3-1-ZNF117","chr7:64500001-65000000"
"ZNF117","chr7:64500001-65000000"
"ERV3-1","chr7:64500001-65000000"
"CCT6P3","chr7:65000001-65500000"
"SNORA22C","chr7:65000001-65500000"
"SNORA15B-2","chr7:65000001-65500000"
"INTS4P1","chr7:65000001-65500000"
"ZNF92","chr7:65000001-65500000"
"LOC101929322","chr7:65500001-66000000"
"LOC441242","chr7:65500001-66000000"
"INTS4P2","chr7:65500001-66000000"
"CCT6P1","chr7:65500001-66000000"
"SNORA22","chr7:65500001-66000000"
"VKORC1L1","chr7:65500001-66000000"
"GUSB","chr7:65500001-66000000"
"ASL","chr7:66000001-66500000"
"CRCP","chr7:66000001-66500000"
"TPST1","chr7:66000001-66500000"
"LINC00174","chr7:66000001-66500000"
"GS1-124K5.4","chr7:66000001-66500000"
"GS1-124K5.11","chr7:66500001-67000000"
"KCTD7","chr7:66500001-67000000"
"LOC100996437","chr7:66500001-67000000"
"RABGEF1","chr7:66500001-67000000"
"GTF2IRD1P1","chr7:66500001-67000000"
"GTF2IP23","chr7:66500001-67000000"
"LINC02604","chr7:66500001-67000000"
"TMEM248","chr7:66500001-67000000"
"SBDS","chr7:66500001-67000000"
"TYW1","chr7:67000001-67500000"
"MIR4650-1","chr7:67000001-67500000"
"PMS2P4","chr7:67000001-67500000"
"STAG3L4","chr7:67000001-67500000"
"LINC01372","chr7:67000001-67500000"
"LOC102723427","chr7:68000001-68500000"
"CT66","chr7:69500001-70000000"
"GALNT17","chr7:71000001-71500000"
"MIR3914-1","chr7:71000001-71500000"
"MIR3914-2","chr7:71000001-71500000"
"CALN1","chr7:72000001-72500000"
"TYW1B","chr7:72500001-73000000"
"SBDSP1","chr7:72500001-73000000"
"SPDYE7P","chr7:72500001-73000000"
"POM121","chr7:72500001-73000000"
"NSUN5P2","chr7:72500001-73000000"
"TRIM73","chr7:72500001-73000000"
"TRIM74","chr7:72500001-73000000"
"STAG3L3","chr7:73000001-73500000"
"SPDYE8","chr7:73000001-73500000"
"SPDYE13","chr7:73000001-73500000"
"SPDYE11","chr7:73000001-73500000"
"SPDYE17","chr7:73000001-73500000"
"GTF2IP4","chr7:73000001-73500000"
"GTF2IP1","chr7:73000001-73500000"
"NCF1B","chr7:73000001-73500000"
"NSUN5","chr7:73000001-73500000"
"TRIM50","chr7:73000001-73500000"
"FKBP6","chr7:73000001-73500000"
"FZD9","chr7:73000001-73500000"
"BAZ1B","chr7:73000001-73500000"
"BCL7B","chr7:73500001-74000000"
"TBL2","chr7:73500001-74000000"
"MLXIPL","chr7:73500001-74000000"
"VPS37D","chr7:73500001-74000000"
"DNAJC30","chr7:73500001-74000000"
"BUD23","chr7:73500001-74000000"
"STX1A","chr7:73500001-74000000"
"MIR4284","chr7:73500001-74000000"
"ABHD11-AS1","chr7:73500001-74000000"
"ABHD11","chr7:73500001-74000000"
"CLDN3","chr7:73500001-74000000"
"CLDN4","chr7:73500001-74000000"
"METTL27","chr7:73500001-74000000"
"TMEM270","chr7:73500001-74000000"
"ELN","chr7:74000001-74500000"
"LIMK1","chr7:74000001-74500000"
"EIF4H","chr7:74000001-74500000"
"MIR590","chr7:74000001-74500000"
"LAT2","chr7:74000001-74500000"
"RFC2","chr7:74000001-74500000"
"CLIP2","chr7:74000001-74500000"
"GTF2IRD1","chr7:74500001-75000000"
"MIR10525","chr7:74500001-75000000"
"GTF2I","chr7:74500001-75000000"
"LOC101926943","chr7:74500001-75000000"
"NCF1","chr7:74500001-75000000"
"GTF2IRD2","chr7:74500001-75000000"
"STAG3L2","chr7:74500001-75000000"
"PMS2P5","chr7:74500001-75000000"
"CASTOR2","chr7:74500001-75000000"
"RCC1L","chr7:75000001-75500000"
"GTF2IRD2B","chr7:75000001-75500000"
"NCF1C","chr7:75000001-75500000"
"SPDYE10P","chr7:75000001-75500000"
"PMS2P7","chr7:75000001-75500000"
"SPDYE15","chr7:75000001-75500000"
"PMS2P2","chr7:75000001-75500000"
"STAG3L1","chr7:75000001-75500000"
"LOC100101148","chr7:75000001-75500000"
"LOC541473","chr7:75000001-75500000"
"NSUN5P1","chr7:75000001-75500000"
"POM121C","chr7:75000001-75500000"
"SPDYE5","chr7:75000001-75500000"
"PMS2P3","chr7:75500001-76000000"
"HIP1","chr7:75500001-76000000"
"CCL26","chr7:75500001-76000000"
"CCL24","chr7:75500001-76000000"
"RHBDD2","chr7:75500001-76000000"
"POR","chr7:75500001-76000000"
"MIR4651","chr7:75500001-76000000"
"SNORA14A","chr7:75500001-76000000"
"TMEM120A","chr7:75500001-76000000"
"STYXL1","chr7:76000001-76500000"
"MDH2","chr7:76000001-76500000"
"GTF2IP7","chr7:76000001-76500000"
"SRRM3","chr7:76000001-76500000"
"HSPB1","chr7:76000001-76500000"
"YWHAG","chr7:76000001-76500000"
"SSC4D","chr7:76000001-76500000"
"ZP3","chr7:76000001-76500000"
"DTX2","chr7:76000001-76500000"
"FDPSP2","chr7:76000001-76500000"
"UPK3B","chr7:76500001-77000000"
"SPDYE16","chr7:76500001-77000000"
"LOC100133091","chr7:76500001-77000000"
"POMZP3","chr7:76500001-77000000"
"DTX2P1-UPK3BP1-PMS2P11","chr7:77000001-77500000"
"PMS2P9","chr7:77000001-77500000"
"SPDYE18","chr7:77000001-77500000"
"FAM185BP","chr7:77000001-77500000"
"CCDC146","chr7:77000001-77500000"
"FGL2","chr7:77000001-77500000"
"GSAP","chr7:77000001-77500000"
"LOC101927243","chr7:77000001-77500000"
"PTPN12","chr7:77500001-78000000"
"APTR","chr7:77500001-78000000"
"RSBN1L","chr7:77500001-78000000"
"TMEM60","chr7:77500001-78000000"
"PHTF2","chr7:77500001-78000000"
"RPL13AP17","chr7:78000001-78500000"
"MAGI2-AS2","chr7:79000001-79500000"
"MAGI2-AS3","chr7:79000001-79500000"
"GNAI1","chr7:80000001-80500000"
"LOC101927269","chr7:80000001-80500000"
"GNAT3","chr7:80000001-80500000"
"CD36","chr7:80500001-81000000"
"SEMA3C","chr7:80500001-81000000"
"LOC105369146","chr7:81500001-82000000"
"LOC100128317","chr7:81500001-82000000"
"HGF","chr7:81500001-82000000"
"CACNA2D1","chr7:82000001-82500000"
"CACNA2D1-AS1","chr7:82000001-82500000"
"PCLO","chr7:82500001-83000000"
"SEMA3E","chr7:83500001-84000000"
"SEMA3A","chr7:84000001-84500000"
"LOC101927378","chr7:84500001-85000000"
"SEMA3D","chr7:85000001-85500000"
"LINC00972","chr7:85000001-85500000"
"GRM3","chr7:86500001-87000000"
"KIAA1324L","chr7:86500001-87000000"
"LOC101927420","chr7:87000001-87500000"
"DMTF1","chr7:87000001-87500000"
"TMEM243","chr7:87000001-87500000"
"TP53TG1","chr7:87000001-87500000"
"CROT","chr7:87000001-87500000"
"ABCB4","chr7:87000001-87500000"
"ABCB1","chr7:87500001-88000000"
"RUNDC3B","chr7:87500001-88000000"
"SLC25A40","chr7:87500001-88000000"
"DBF4","chr7:87500001-88000000"
"ADAM22","chr7:88000001-88500000"
"SRI","chr7:88000001-88500000"
"LOC102723885","chr7:88000001-88500000"
"STEAP4","chr7:88000001-88500000"
"ZNF804B","chr7:89000001-89500000"
"TEX47","chr7:88500001-89000000"
"STEAP2-AS1","chr7:90000001-90500000"
"DPY19L2P4","chr7:90000001-90500000"
"STEAP1","chr7:90000001-90500000"
"STEAP2","chr7:90000001-90500000"
"CFAP69","chr7:90000001-90500000"
"LOC101927446","chr7:90000001-90500000"
"GTPBP10","chr7:90000001-90500000"
"LOC101409256","chr7:90000001-90500000"
"CLDN12","chr7:90000001-90500000"
"LOC102723899","chr7:90000001-90500000"
"CDK14","chr7:90500001-91000000"
"FZD1","chr7:91000001-91500000"
"MTERF1","chr7:91500001-92000000"
"AKAP9","chr7:92000001-92500000"
"CYP51A1","chr7:92000001-92500000"
"CYP51A1-AS1","chr7:92000001-92500000"
"LRRD1","chr7:92000001-92500000"
"KRIT1","chr7:92000001-92500000"
"MIR1285-1","chr7:92000001-92500000"
"ANKIB1","chr7:92000001-92500000"
"TMBIM7P","chr7:92000001-92500000"
"GATAD1","chr7:92000001-92500000"
"ERVW-1","chr7:92000001-92500000"
"PEX1","chr7:92500001-93000000"
"RBM48","chr7:92500001-93000000"
"FAM133B","chr7:92500001-93000000"
"CDK6","chr7:92500001-93000000"
"CDK6-AS1","chr7:92500001-93000000"
"SAMD9","chr7:93000001-93500000"
"SAMD9L","chr7:93000001-93500000"
"HEPACAM2","chr7:93000001-93500000"
"VPS50","chr7:93000001-93500000"
"CALCR","chr7:93000001-93500000"
"MIR653","chr7:93000001-93500000"
"MIR489","chr7:93000001-93500000"
"MIR4652","chr7:93500001-94000000"
"TFPI2","chr7:93500001-94000000"
